Site;Date;Hive;ID;BeeType;Brain;Side;MB;AL;ME;LO;OL;MBr;ALr;MEr;LOr;Olr
A;02/09/2020;H3;35;Forager;0.513584484407417;Right;NA;0.0148938709008765;0.0702723506456745;0.0214866525902229;0.0917590032358975;NA;0.0289998458930497;0.136827246108799;0.041836646632763;0.178663892741563
A;02/09/2020;H3;36;Forager;0.540235015544513;Right;0.0648892526496528;0.0146709935478464;0.0722977229030602;0.0236605030921182;0.0959582259951784;0.120113007825399;0.0271566876002275;0.13382642891111;0.0437966855374421;0.177623114448552
A;02/09/2020;H3;37;Forager;0.515063179131878;Right;NA;0.0137215677963622;0.0702727189532273;0.0216530952357721;0.0919258141889993;NA;0.0266405527560511;0.136435143882095;0.042039687776299;0.178474831658394
A;02/09/2020;H3;38;Forager;0.509030923721051;Right;NA;0.0137883646992441;0.0676076085924798;0.0207809234354689;0.0883885320279487;NA;0.0270874794765909;0.132816309269118;0.0408244813174786;0.173640790586596
A;02/09/2020;H2;39;Forager;0.521430531746019;Right;0.0666623851475281;0.0133413734947034;0.0732698310079312;0.0227781169081249;0.0960479479160561;0.127845189510303;0.0255860995519951;0.14051695584949;0.0436838955936316;0.184200851443121
A;02/09/2020;H2;40;Forager;0.534772259398126;Right;NA;0.0134740259299916;0.0711348215994753;0.0218854577452111;0.0930202793446863;NA;0.0251958206380344;0.133018907299971;0.0409248186692456;0.173943725969216
A;02/09/2020;H2;41;Forager;0.523422963155457;Right;NA;0.0134191941342807;0.0725074287605618;0.0234606786068973;0.0959681073674591;NA;0.0256373813891982;0.138525502059464;0.0448216457021001;0.183347147761564
A;02/09/2020;H2;42;Forager;0.452844201519588;Right;NA;0.0138563658882599;0.0728607139791773;0.0227397109771042;0.0956004249562815;NA;0.0305985277977785;0.160895764447645;0.0502153078272784;0.211111072274923
A;02/09/2020;H2;43;Forager;0.487625944957535;Right;NA;0.0133874850375576;0.0746109115864364;0.023627981130017;0.0982388927164534;NA;0.0274544149588338;0.153008494232057;0.0484551352821775;0.201463629514235
A;07/09/2020;H5;44;Forager;0.46977255178227;Right;0.0554546866689239;0.0132878996103346;0.0669223347301837;0.0203702955045919;0.0872926302347756;0.118045821235265;0.0282858152523421;0.14245688573393;0.0433620385595306;0.185818924293461
A;07/09/2020;H5;45;Forager;0.509654957055949;Right;0.0629170573389353;0.013969663987403;0.0701929998296725;0.021363190114616;0.0915561899442885;0.123450299988014;0.0274100424100642;0.137726512531432;0.0419169671929057;0.179643479724338
A;07/09/2020;H5;46;Forager;0.548779307790755;Right;0.0673933475195228;0.0161063383332257;0.0795745958445364;0.0215141592256238;0.10108875507016;0.122805919543197;0.029349390737901;0.145002908664475;0.0392036633309559;0.18420657199543
A;07/09/2020;H5;47;Forager;0.539004509277803;Right;NA;0.0144428481335207;0.0716784762274113;0.0234832597420558;0.0951617359694671;NA;0.0267954124407461;0.13298307341334;0.0435678354036785;0.176550908817018
A;07/09/2020;H5;48;Forager;0.512477642630234;Right;0.0652696853664843;0.0135344632985184;0.0719944254825226;0.0219598142748618;0.0939542397573844;0.127361039657252;0.0264098609825285;0.140483056222744;0.0428502874040622;0.183333343626806
